X,Y,ArcticDEM1
-2256550,399450,1234.03833
-2256650,399550,1226.133179
-2256750,399650,1218.752197
-2256850,399750,1212.425293
-2256950,399850,1206.764771
-2257050,399950,1204.276001
-2257150,400050,1200.211182
-2257250,400150,1194.215942
-2257350,400250,1186.487915
-2257450,400350,1180.264404
-2257550,400450,1177.971924
-2257550,400450,1177.971924
-2257650,400550,1171.611938
-2257750,400650,1165.686646
-2257850,400650,1172.080688
-2257950,400750,1156.993774
-2258050,400850,1147.872314
-2258150,400950,1145.970581
-2258250,401050,1148.28772
-2258350,401050,1135.920044
-2258450,401150,1128.187622
-2258550,401250,1123.2052
-2258550,401250,1123.2052
-2258650,401250,1115.777222
-2258750,401350,1110.707031
-2258850,401350,1104.610352
-2258950,401350,1100.377441
-2259050,401450,1095.903076
-2259150,401450,1101.258057
-2259150,401450,1101.258057
-2259250,401550,1093.417358
-2259350,401650,1086.093506
-2259450,401750,1077.490234
-2259550,401850,1073.267334
-2259550,401850,1073.267334
-2259650,401950,1071.09375
-2259750,401950,1064.376587
-2259850,402050,1059.484741
-2259950,402150,1055.671997
-2260050,402150,1063.041626
-2260150,402250,1057.616455
-2260150,402250,1057.616455
-2260250,402350,1044.525269
-2260350,402450,1047.291992
-2260450,402450,1036.002686
-2260550,402550,1032.242554
-2260550,402550,1032.242554
-2260650,402650,1027.836914
-2260750,402650,1021.578857
-2260850,402750,1012.400879
-2260950,402750,1008.11322
-2261050,402850,1002.697266
-2261050,402850,1002.697266
-2261150,402950,997.7263794
-2261150,403050,992.7557373
-2261150,403050,992.7557373
-2261250,403150,990.1481934
-2261250,403250,984.3425903
-2261350,403350,984.7456055
-2261350,403450,976.3995361
-2261350,403450,976.3995361
-2261450,403550,970.5668335
-2261550,403650,965.4793701
-2261650,403750,961.1051025
-2261650,403850,958.7607422
-2261750,403950,953.1425171
-2261850,404050,949.7820435
-2261850,404050,949.7820435
-2261950,404150,951.1246338
-2262050,404150,942.4436646
-2262150,404250,938.8673706
-2262250,404250,934.3598633
-2262350,404350,930.3345947
-2262350,404350,930.3345947
-2262450,404450,925.875
-2262550,404550,922.8555298
-2262650,404650,918.3918457
-2262650,404650,918.3918457
-2262750,404750,915.1853638
-2262850,404750,913.2061157
-2262950,404850,908.5385132
-2263050,404850,907.0174561
-2263150,404950,902.9941406
-2263150,404950,902.9941406
-2263150,405050,910.197876
-2263250,405150,899.9174194
-2263250,405250,897.930481
-2263250,405350,894.7562256
-2263350,405450,890.4523926
-2263350,405550,888.7011719
-2263350,405550,888.7011719
-2263350,405650,886.5736084
-2263350,405750,885.1345215
-2263350,405850,882.9331665
-2263350,405950,880.7566528
-2263350,405950,880.7566528
-2263350,406050,882.0568848
-2263450,406150,876.4613037
-2263450,406250,879.9943848
-2263450,406350,889.4492188
-2263550,406450,875.0755005
-2263550,406550,870.8892822
-2263550,406550,870.8892822
-2263550,406650,868.6500854
-2263550,406750,867.7555542
-2263650,406850,864.3569946
-2263650,406950,862.4140625
-2263650,407050,860.1445313
-2263650,407050,860.1445313
-2263650,407150,858.2990112
-2263650,407250,856.5596924
-2263650,407350,854.9423218
-2263650,407450,853.3621826
-2263650,407550,851.5988159
-2263650,407550,851.5988159
-2263650,407650,849.8772583
-2263650,407750,848.3231201
-2263650,407850,846.3278809
-2263650,407950,845.3167725
-2263650,407950,845.3167725
-2263550,408050,842.52771
-2263550,408150,840.9768066
-2263450,408250,838.8208618
-2263450,408350,843.1947021
-2263450,408350,843.1947021
-2263350,408450,836.8485107
-2263250,408550,834.675293
-2263250,408550,834.675293
-2263350,408650,835.0599365
-2263350,408750,830.4553833
-2263350,408750,830.4553833
-2263350,408850,829.0571899
-2263350,408950,829.8276978
-2263350,409050,829.3966675
-2263350,409050,829.3966675
-2263450,409150,824.9207153
-2263450,409250,822.682373
-2263450,409250,822.682373
-2263450,409350,820.9989624
-2263450,409450,819.3563232
-2263450,409550,817.9307861
-2263450,409550,817.9307861
-2263450,409650,816.4074707
-2263450,409750,814.7684326
-2263450,409750,814.7684326
-2263450,409850,814.0787964
-2263450,409850,814.0787964
-2263450,409950,812.0400391
-2263550,410050,809.6546021
-2263550,410150,808.1854858
-2263550,410150,808.1854858
-2263650,410250,806.3046265
-2263650,410350,804.7630615
-2263650,410350,804.7630615
-2263750,410450,803.0026855
-2263750,410550,802.2746582
-2263750,410550,802.2746582
-2263750,410650,800.1744995
-2263750,410750,798.9371338
-2263750,410850,797.4151001
-2263750,410950,795.9633179
-2263750,410950,795.9633179
-2263750,411050,794.3946533
-2263750,411150,792.8903809
-2263850,411250,791.6932373
-2263850,411350,790.1351318
-2263850,411450,788.5787354
-2263850,411450,788.5787354
-2263850,411550,786.9866333
-2263850,411650,785.4459229
-2263850,411750,783.9830933
-2263850,411850,782.5884399
-2263850,411850,782.5884399
-2263850,411950,781.1629639
-2263850,412050,779.5853271
-2263850,412150,777.934021
-2263850,412250,776.4362183
-2263850,412350,775.5352783
-2263850,412350,775.5352783
-2263850,412450,777.7351074
-2263750,412550,775.8456421
-2263750,412650,777.8063965
-2263750,412750,777.8933716
-2263750,412750,777.8933716
-2263850,412850,768.7295532
-2263950,412950,766.4620972
-2264050,413050,764.6428223
-2264150,413150,762.8497314
-2264150,413150,762.8497314
-2264250,413250,760.7285767
-2264250,413350,764.1328125
-2264350,413450,758.0083618
-2264350,413450,758.0083618
-2264350,413550,756.8990479
-2264350,413650,755.541687
-2264350,413750,754.1352539
-2264350,413750,754.1352539
-2264350,413850,752.9891357
-2264350,413850,752.9891357
-2264350,413950,752.4754639
-2264350,414050,750.5140991
-2264450,414150,749.8605957
-2264450,414250,747.1460571
-2264450,414350,746.276001
-2264450,414350,746.276001
-2264450,414450,744.355896
-2264450,414550,743.0308838
-2264450,414650,742.3806763
-2264450,414750,744.5957031
-2264450,414750,744.5957031
-2264450,414850,751.3892822
-2264550,414950,738.1001587
-2264550,415050,737.1882324
-2264550,415050,737.1882324
-2264550,415150,735.6741333
-2264550,415250,734.0792236
-2264550,415350,733.3527222
-2264550,415350,733.3527222
-2264650,415450,731.3001099
-2264650,415550,729.8779297
-2264750,415650,728.3725586
-2264750,415650,728.3725586
-2264750,415750,727.1435547
-2264750,415850,726.4655151
-2264750,415950,725.3083496
-2264750,415950,725.3083496
-2264750,416050,724.0881958
-2264750,416150,722.4638062
-2264750,416250,721.0388794
-2264750,416350,720.0982666
-2264750,416350,720.0982666
-2264750,416450,719.0443726
-2264650,416550,727.012085
-2264650,416650,721.5369263
-2264650,416750,722.619873
-2264650,416750,722.619873
-2264650,416850,720.2460327
-2264650,416950,713.0201416
-2264650,417050,711.6141357
-2264650,417150,711.0393677
-2264650,417150,711.0393677
-2264650,417250,709.9887695
-2264550,417350,708.2474976
-2264550,417450,707.0415039
-2264550,417450,707.0415039
-2264550,417550,705.7198486
-2264550,417650,704.4259644
-2264550,417650,704.4259644
-2264550,417750,703.5112915
-2264550,417850,700.8062744
-2264550,417950,702.0509644
-2264550,417950,702.0509644
-2264550,418050,698.3564453
-2264550,418050,698.3564453
-2264450,418050,699.8822021
-2264350,418050,698.2360229
-2264350,418050,698.2360229
-2264250,418150,703.1751099
-2264250,418250,696.371582
-2264250,418250,696.371582
-2264250,418350,690.3240967
-2264150,418450,693.1018066
