Year,Month,Day,Tmax,Tmin,Precip,Snow,Snowcover
2022,1,1,25,5,0.43,7.1,9
2022,1,2,50,-4,0.0,0.0,6
2022,1,3,51,22,0.0,0.0,4
2022,1,4,49,30,0.0,0.0,3
2022,1,5,36,11,0.17,2.6,6
2022,1,6,20,0,0.33,5.1,8
2022,1,7,63,7,0.0,0.0,6
2022,1,8,58,39,0.0,0.0,4
2022,1,9,40,19,0.0,0.0,4
2022,1,10,54,19,0.0,0.0,4
2022,1,11,56,27,0.0,0.0,3
2022,1,12,57,28,0.0,0.0,3
2022,1,13,59,40,0.0,0.0,2
2022,1,14,53,31,0.03,0.3,2
2022,1,15,50,15,0.0,0.0,2
2022,1,16,60,35,0.0,0.0,1
2022,1,17,56,23,0.0,0.0,1
2022,1,18,50,35,0.0,0.0,1
2022,1,19,42,19,0.07,-999.0,1
2022,1,20,27,15,0.01,-999.0,1
2022,1,21,33,22,0.07,1.3,1
2022,1,22,44,17,0.01,0.1,1
2022,1,23,53,22,0.0,0.0,-999
2022,1,24,47,28,0.0,0.0,-999
2022,1,25,40,21,0.32,5.4,5
2022,1,26,38,6,0.0,0.0,4
2022,1,27,31,20,0.12,3.2,6
2022,1,28,51,9,0.0,0.0,4
2022,1,29,57,27,0.0,0.0,3
2022,1,30,54,22,0.0,0.0,1
2022,1,31,61,23,0.0,0.0,1
2022,2,1,51,22,0.05,0.6,1
2022,2,2,22,7,0.57,9.2,9
2022,2,3,24,-11,0.02,0.4,8
2022,2,4,40,4,0.0,0.0,7
2022,2,5,50,17,0.0,0.0,5
2022,2,6,39,20,0.0,0.0,5
2022,2,7,54,20,0.0,0.0,3
2022,2,8,54,35,0.0,0.0,2
2022,2,9,56,38,0.0,0.0,2
2022,2,10,61,26,0.0,0.0,1
2022,2,11,49,26,0.37,5.6,6
2022,2,12,39,7,0.32,4.5,7
2022,2,13,59,19,0.0,0.0,3
2022,2,14,55,25,0.0,0.0,2
2022,2,15,60,36,0.0,0.0,2
2022,2,16,51,21,0.13,1.7,3
2022,2,17,34,5,0.35,5.6,5
2022,2,18,45,19,0.0,0.0,3
2022,2,19,57,23,0.0,0.0,3
2022,2,20,62,34,0.0,0.0,1
2022,2,21,57,18,-999.0,-999.0,1
2022,2,22,18,-2,0.19,2.9,3
2022,2,23,11,-4,0.13,1.6,4
2022,2,24,25,1,0.04,0.7,3
2022,2,25,26,2,0.0,0.0,3
2022,2,26,36,6,0.0,0.0,3
2022,2,27,55,15,0.0,0.0,1
2022,2,28,66,32,0.0,0.0,-999
2022,3,1,70,41,0.0,0.0,-999
2022,3,2,66,38,0.0,0.0,-999
2022,3,3,69,39,0.0,0.0,-999
2022,3,4,68,31,0.0,0.0,-999
2022,3,5,56,27,0.05,0.1,-999
2022,3,6,29,18,0.14,5.3,3
2022,3,7,29,5,0.05,0.8,1
2022,3,8,41,11,0.0,0.0,-999
2022,3,9,34,10,0.15,4.1,4
2022,3,10,22,2,0.06,0.8,2
2022,3,11,33,2,0.0,0.0,1
2022,3,12,56,17,0.0,0.0,-999
2022,3,13,61,31,0.0,0.0,-999
2022,3,14,56,29,0.0,0.0,-999
2022,3,15,69,29,0.0,0.0,0
2022,3,16,63,42,0.01,0.0,0
2022,3,17,45,30,0.97,4.8,4
2022,3,18,52,19,0.01,0.3,-999
2022,3,19,60,28,0.0,0.0,0
2022,3,20,66,31,0.0,0.0,0
2022,3,21,57,29,0.04,0.5,0
2022,3,22,47,22,0.0,0.0,0
2022,3,23,58,22,0.0,0.0,0
2022,3,24,67,30,0.0,0.0,0
2022,3,25,62,39,0.0,0.0,0
2022,3,26,78,36,0.0,0.0,0
2022,3,27,73,32,0.0,0.0,0
2022,3,28,77,43,0.0,0.0,0
2022,3,29,70,43,0.19,0.0,0
2022,3,30,51,30,-999.0,0.0,0
2022,3,31,65,26,0.0,0.0,0
2022,4,1,60,39,0.0,0.0,0
2022,4,2,68,27,0.0,0.0,0
2022,4,3,66,40,0.0,0.0,0
2022,4,4,69,29,0.0,0.0,0
2022,4,5,64,44,-999.0,0.0,0
2022,4,6,49,28,0.0,0.0,0
2022,4,7,58,27,0.0,0.0,0
2022,4,8,69,24,0.0,0.0,0
2022,4,9,78,45,0.0,0.0,0
2022,4,10,70,34,0.12,0.0,0
2022,4,11,59,25,0.0,0.0,0
2022,4,12,58,38,0.0,0.0,0
2022,4,13,39,12,-999.0,-999.0,0
2022,4,14,57,20,0.0,0.0,0
2022,4,15,65,35,0.0,0.0,0
2022,4,16,55,28,0.0,0.0,0
2022,4,17,63,28,-999.0,0.0,0
2022,4,18,59,24,0.0,0.0,0
2022,4,19,82,32,0.0,0.0,0
2022,4,20,73,45,0.0,0.0,0
2022,4,21,78,37,0.0,0.0,0
2022,4,22,85,38,0.0,0.0,0
2022,4,23,67,30,-999.0,0.0,0
2022,4,24,52,31,0.0,0.0,0
2022,4,25,55,30,0.0,0.0,0
2022,4,26,74,30,0.0,0.0,0
2022,4,27,74,43,0.0,0.0,0
2022,4,28,75,40,0.0,0.0,0
2022,4,29,69,43,-999.0,0.0,0
2022,4,30,65,37,0.0,0.0,0
2022,5,1,64,32,0.0,0.0,0
2022,5,2,53,35,0.41,-999.0,0
2022,5,3,52,36,0.0,0.0,0
2022,5,4,52,37,0.96,0.0,0
2022,5,5,71,35,0.0,0.0,0
2022,5,6,81,46,0.0,0.0,0
2022,5,7,86,47,0.0,0.0,0
2022,5,8,80,40,0.0,0.0,0
2022,5,9,71,44,0.0,0.0,0
2022,5,10,71,40,0.0,0.0,0
2022,5,11,87,42,0.0,0.0,0
2022,5,12,80,48,0.0,0.0,0
2022,5,13,75,46,0.0,0.0,0
2022,5,14,80,49,0.0,0.0,0
2022,5,15,77,47,0.0,0.0,0
2022,5,16,87,43,0.0,0.0,0
2022,5,17,85,49,-999.0,0.0,0
2022,5,18,84,48,0.0,0.0,0
2022,5,19,86,45,0.0,0.0,0
2022,5,20,84,32,0.63,3.8,4
2022,5,21,45,32,0.58,4.5,1
2022,5,22,58,30,0.0,0.0,0
2022,5,23,61,37,0.01,0.0,0
2022,5,24,56,38,0.22,0.0,0
2022,5,25,71,34,0.01,0.0,0
2022,5,26,82,40,0.0,0.0,0
2022,5,27,87,50,0.0,0.0,0
2022,5,28,82,51,0.0,0.0,0
2022,5,29,79,51,0.15,0.0,0
2022,5,30,64,44,0.06,0.0,0
2022,5,31,63,38,0.16,0.0,0
2022,6,1,54,39,0.58,0.0,0
2022,6,2,69,39,0.0,0.0,0
2022,6,3,73,45,0.06,0.0,0
2022,6,4,83,44,0.0,0.0,0
2022,6,5,80,52,-999.0,0.0,0
2022,6,6,76,51,0.04,0.0,0
2022,6,7,79,50,0.0,0.0,0
2022,6,8,77,49,0.0,0.0,0
2022,6,9,88,50,0.0,0.0,0
2022,6,10,90,48,0.0,0.0,0
2022,6,11,99,58,0.0,0.0,0
2022,6,12,96,60,0.05,0.0,0
2022,6,13,95,65,0.0,0.0,0
2022,6,14,90,52,0.0,0.0,0
2022,6,15,87,45,0.0,0.0,0
2022,6,16,91,52,0.0,0.0,0
2022,6,17,91,58,-999.0,0.0,0
