agency_cd,site_no,datetime,discharge-cuft
USGS,9058000,1/1/11,311
USGS,9058000,1/2/11,348
USGS,9058000,1/3/11,387
USGS,9058000,1/4/11,378
USGS,9058000,1/5/11,381
USGS,9058000,1/6/11,377
USGS,9058000,1/7/11,371
USGS,9058000,1/8/11,368
USGS,9058000,1/9/11,371
USGS,9058000,1/10/11,351
USGS,9058000,1/11/11,334
USGS,9058000,1/12/11,369
USGS,9058000,1/13/11,376
USGS,9058000,1/14/11,394
USGS,9058000,1/15/11,387
USGS,9058000,1/16/11,392
USGS,9058000,1/17/11,400
USGS,9058000,1/18/11,391
USGS,9058000,1/19/11,379
USGS,9058000,1/20/11,352
USGS,9058000,1/21/11,369
USGS,9058000,1/22/11,364
USGS,9058000,1/23/11,350
USGS,9058000,1/24/11,360
USGS,9058000,1/25/11,339
USGS,9058000,1/26/11,364
USGS,9058000,1/27/11,356
USGS,9058000,1/28/11,364
USGS,9058000,1/29/11,362
USGS,9058000,1/30/11,365
USGS,9058000,1/31/11,362
USGS,9058000,2/1/11,350
USGS,9058000,2/2/11,330
USGS,9058000,2/3/11,400
USGS,9058000,2/4/11,563
USGS,9058000,2/5/11,580
USGS,9058000,2/6/11,574
USGS,9058000,2/7/11,548
USGS,9058000,2/8/11,538
USGS,9058000,2/9/11,508
USGS,9058000,2/10/11,513
USGS,9058000,2/11/11,501
USGS,9058000,2/12/11,502
USGS,9058000,2/13/11,507
USGS,9058000,2/14/11,492
USGS,9058000,2/15/11,473
USGS,9058000,2/16/11,467
USGS,9058000,2/17/11,467
USGS,9058000,2/18/11,459
USGS,9058000,2/19/11,463
USGS,9058000,2/20/11,469
USGS,9058000,2/21/11,464
USGS,9058000,2/22/11,455
USGS,9058000,2/23/11,458
USGS,9058000,2/24/11,474
USGS,9058000,2/25/11,480
USGS,9058000,2/26/11,485
USGS,9058000,2/27/11,482
USGS,9058000,2/28/11,488
USGS,9058000,3/1/11,480
USGS,9058000,3/2/11,425
USGS,9058000,3/3/11,440
USGS,9058000,3/4/11,469
USGS,9058000,3/5/11,474
USGS,9058000,3/6/11,489
USGS,9058000,3/7/11,503
USGS,9058000,3/8/11,502
USGS,9058000,3/9/11,498
USGS,9058000,3/10/11,503
USGS,9058000,3/11/11,538
USGS,9058000,3/12/11,677
USGS,9058000,3/13/11,698
USGS,9058000,3/14/11,669
USGS,9058000,3/15/11,695
USGS,9058000,3/16/11,736
USGS,9058000,3/17/11,883
USGS,9058000,3/18/11,741
USGS,9058000,3/19/11,730
USGS,9058000,3/20/11,714
USGS,9058000,3/21/11,727
USGS,9058000,3/22/11,801
USGS,9058000,3/23/11,756
USGS,9058000,3/24/11,749
USGS,9058000,3/25/11,677
USGS,9058000,3/26/11,640
USGS,9058000,3/27/11,650
USGS,9058000,3/28/11,658
USGS,9058000,3/29/11,634
USGS,9058000,3/30/11,622
USGS,9058000,3/31/11,672
USGS,9058000,4/1/11,832
USGS,9058000,4/2/11,996
USGS,9058000,4/3/11,1210
USGS,9058000,4/4/11,959
USGS,9058000,4/5/11,892
USGS,9058000,4/6/11,1120
USGS,9058000,4/7/11,1230
USGS,9058000,4/8/11,1530
USGS,9058000,4/9/11,1920
USGS,9058000,4/10/11,1970
USGS,9058000,4/11/11,1830
USGS,9058000,4/12/11,1800
USGS,9058000,4/13/11,1800
