ID,Citation,Site_Name,Drainage area (km^2),tau_*bf,Slope,D50 (m),Width (m),Depth (m),Discharge (m3/s)
1,"Agouridis et al., 2011 and Brockman, 2010",Banklick Creek at Hwy 1829,77.7,0.0372,0.0051,0.0831,12.1,1,21.2
2,"Agouridis et al., 2011 and Brockman, 2010",Cave Creek near Fort Springs,6.55,0.0466,0.0074,0.0385,5.3,0.4,1.8
3,"Agouridis et al., 2011 and Brockman, 2010",Cedar Creek at Hwy 1442,31.34,0.0445,0.005,0.0477,12.6,0.7,9.7
4,"Agouridis et al., 2011 and Brockman, 2010",Chenoweth Run at Ruckriegel Pky.,14.17,0.0357,0.0053,0.045,13.6,0.5,4.7
5,"Agouridis et al., 2011 and Brockman, 2010",Cruises Creek at Hwy 17,46.62,0.0513,0.0056,0.0595,12.7,0.9,10.6
6,"Agouridis et al., 2011 and Brockman, 2010",Eagle Creek at Sadieville,111.11,0.1877,0.0016,0.0062,26.2,1.2,33.4
7,"Agouridis et al., 2011 and Brockman, 2010",East Hickman Creek at Andover,4.09,0.0925,0.0058,0.0152,4.1,0.4,1.1
8,"Agouridis et al., 2011 and Brockman, 2010",East Hickman Creek at Delong Rd.,39.11,0.0255,0.0025,0.0534,11.5,0.9,7.5
9,"Agouridis et al., 2011 and Brockman, 2010",Fourmile Creek at Polar Bridge,8.03,0.0919,0.0184,0.0607,8,0.5,4.4
10,"Agouridis et al., 2011 and Brockman, 2010",Goose Creek at Old Westport Rd.,15.54,0.0399,0.0053,0.0564,9.5,0.7,4.7
11,"Agouridis et al., 2011 and Brockman, 2010",Gunpowder Creek at Camp Ernst Rd.,94.79,0.025,0.0035,0.0848,12.12,1,46.4
12,"Agouridis et al., 2011 and Brockman, 2010",Little Goose Creek near Harrods Creek,15.02,0.0357,0.0061,0.0828,13.7,0.8,7.7
13,"Agouridis et al., 2011 and Brockman, 2010",Middle Fork Beargrass Creek at Old Cannons Ln.,48.95,0.0566,0.0037,0.0396,12.8,1,15
14,"Agouridis et al., 2011 and Brockman, 2010",Mud Lick Creek at Hwy 42,94.28,0.0612,0.0053,0.0787,12.11,1.5,57.8
15,"Agouridis et al., 2011 and Brockman, 2010",North Elkhorn Creek at Bryan Station Rd.,55.68,0.028,0.0032,0.0623,17.3,0.9,7.6
16,"Agouridis et al., 2011 and Brockman, 2010",North Elkhorn Creek at Man O War Rd.,5.7,0.0735,0.0073,0.0301,5.9,0.5,1.7
17,"Agouridis et al., 2011 and Brockman, 2010",North Elkhorn Creek at Winchester Rd.,10.49,0.0543,0.0046,0.0308,8.4,0.6,2.1
18,"Agouridis et al., 2011 and Brockman, 2010",South Elkhorn Creek at Fort Springs,62.16,0.0061,0.0028,0.194,16.5,0.7,15.4
19,"Agouridis et al., 2011 and Brockman, 2010",Town Branch at Yarnallton Rd.,77.7,0.0134,0.0029,0.1307,21.9,1,30.6
20,"Agouridis et al., 2011 and Brockman, 2010",Twelvemile Creek at Hwy 1997,101.01,0.0138,0.0025,0.1317,12.13,1.2,38.2
21,"Agouridis et al., 2011 and Brockman, 2010",UT to East Hickman Creek at Chilesburg,2.49,0.332,0.0063,0.0046,4.2,0.4,1.3
22,"Agouridis et al., 2011 and Brockman, 2010",West Hickman Creek at Ash Grove Pk.,53.09,0.0114,0.0034,0.1443,17.8,0.8,12.9
23,"Agouridis et al., 2011 and Brockman, 2010",Wolf Run at Old Frankfort Pk.,24.79,0.0233,0.005,0.1041,11.6,0.8,11.9
24,"Agouridis et al., 2011 and Brockman, 2010",Woolper Creek at Woolper Rd.,62.68,0.0851,0.0071,0.0455,12.9,0.9,15.3
25,"Albert, 2004","Rio Grande at Albuquerque, NM",,,0.0011,,105,1.3,141.58
26,Andrews 1984,"East River at Almont, CO",749,0.0407,0.0067,0.091,26,0.91,37.5
27,Andrews 1984,"Elk River near Milner, CO",1075,0.0508,0.0037,0.064,36.6,1.45,101
28,Andrews 1984,"Fraser River at Upper STA, near Winter Park, CO",27.2,0.0724,0.014,0.034,6.98,0.29,2.69
29,Andrews 1984,"Lake Fork at Gateview, CO",865,0.0391,0.0058,0.079,24.9,0.88,42
30,Andrews 1984,"Little Grizzly Creek above Hebron, CO",135,0.029,0.0023,0.023,10,0.48,6.7
31,Andrews 1984,little muddy creek near parshall,16.9,0.047,0.0061,0.024,5,0.31,1.9
32,Andrews 1984,"North Platte River near Northgate, CO",3706,0.0344,0.0014,0.024,47,0.97,85.2
33,Andrews 1984,"South Fork of Williams Fork near Leal, CO",70.5,0.0532,0.015,0.073,,0.43,8.36
34,Andrews 1984,Castle Creek near Aspen,104,0.0672,0.0206,0.091,8,0.49,4.5
35,Andrews 1984,Chalk Creek near Nathrop,251,0.0623,0.019,0.085,12,0.46,9.8
36,Andrews 1984,"Crystal River above Avalanche Creek, near Redstone, CO",433,0.0301,0.0058,0.098,34,0.84,49
37,Andrews 1984,Cunningham Creek near Norrie,18.4,0.0618,0.0092,0.037,6,0.41,2.5
38,Andrews 1984,East Inlet Creek near Grand Lake,70.5,0.0334,0.0046,0.061,12,0.73,12.2
39,Andrews 1984,Frazer River near Winter Park,27.2,0.0724,0.014,0.034,7,0.29,2.7
40,Andrews 1984,Little Snake River near Dixon,738,0.0343,0.0024,0.07,37,1.65,114
41,Andrews 1984,Little Snake river near Slater,738,0.0399,0.0071,0.122,31,1.13,72.2
42,Andrews 1984,Michigan River near Cameron Pass,3.96,0.0643,0.026,0.049,2,0.2,0.7
43,Andrews 1984,North Fork Fryingpan River above Cunningham,31.1,0.0387,0.01,0.061,6,0.39,3.2
44,Andrews 1984,South Fork Williams Fork near Leal,70.5,0.0535,0.015,0.073,9,0.43,8.4
45,Andrews 1984,Stillwater Creek above Granby Res.,45.3,0.0436,0.011,0.052,7,0.34,2.2
46,Andrews 1984,Tomichi Creek at Sargents,386,0.0315,0.0046,0.046,12,0.52,7.1
47,Andrews 1984,Williams Fork at mouth near Hamilton,883,0.0436,0.002,0.045,24,1.62,46.7
48,Andrews 1984,Williams Fork near Leal,231,0.0453,0.0044,0.043,18,0.73,22.6
49,"Andrews, 1984","Little Snake River near Dixon, WY",2558.91,0.0343,0.0024,0.07,36.6,1.65,114
50,"Andrews, 1984","Yampa River below Diversion, near Hayden, CO",3703.69,0.0307,0.0018,0.058,53.3,1.63,167
51,"Andrews, 1984","Yampa River near Maybell, CO",8832,0.029,0.00088,0.034,83.8,1.85,255
52,"Andrews, 1994","Sagehen Creek near Truckee, CA",27.19,0.0428,0.01,0.058,4.85,0.41,2
53,"Andrews, 2000","East Fork Virgin River near Springdale, UT",888.37,0.0562,0.004,0.025,7.8,0.58,7.1
54,"Annable, 1996; Li et. Al., 2015","Bear Creek below Brigden, Ontario, Canada",,7.6774,0.00033,0.000062,25.67,2.38,27.94
55,"Annable, 1996; Li et. Al., 2015","McKenzie Creek near Caledonia, Ontario, Canada",,4.6982,0.0034,0.00025,22.3,0.57,15.29
56,"Annable, 1996; Li et. Al., 2015","Willow Creek above Little Lake, Ontario, Canada",,9.1345,0.0024,0.00025,13.7,1.57,22.65
57,"Bartholdy and Kisling-Moller, (1996), Kleinhans and van den Berg, (2011)",Gels Aa,,0.8913,0.0005,0.00051,15,1.5,10
58,"BC Hydro and Power Authority, 1975",Beatton River near confluence with Peace River,,0.0638,0.00121,0.056,121,4.87,2096
59,"BC Hydro and Power Authority, 1975",Halfway River BC near confluence with Peace River,,0.0892,0.00221,0.05,178,3.33,1700
60,"BC Hydro and Power Authority, 1975",Halfway River BC upstream of lower section,,0.0614,0.00189,0.042,170,2.25,1042
61,"BC Hydro and Power Authority, 1975",Pine River BC near confluence with Peace River,,0.3972,0.01003,0.073,212,4.77,3820
62,"Bent and Waite, 2013","BRANCH RIVER AT FORESTDALE, RI",236.21,0.0211,0.0022,0.06588,18,1.05,34.26
63,"Bent and Waite, 2013","CHARLES RIVER AT DOVER, MA",473.97,0.0324,0.0008,0.01813,30.05,1.21,27.01
64,"Bent and Waite, 2013","Green River at Williamstown, MA",110.33,0.1025,0.0107,0.05956,24.08,0.94,34.55
65,"Bent and Waite, 2013","GREEN RIVER NEAR COLRAIN, MA",107.23,0.0588,0.0075,0.09281,16.8,1.2,59.75
66,"Bent and Waite, 2013","Hubbard River near West Hartland, CT",108.78,0.0556,0.0236,0.17945,22.33,0.7,14.36
67,"Bent and Waite, 2013","Mill River at Northhampton, MA",136.23,0.1478,0.0038,0.01695,25.76,1.09,45.31
68,"Bent and Waite, 2013","Nipmuc River near Harrisville, RI",41.44,0.0667,0.0021,0.01244,15.77,0.65,9
69,"Bent and Waite, 2013","NORTH RIVER AT SHATTUCKVILLE, MA",230.51,0.0659,0.0052,0.06695,41,1.4,86.9
70,"Bent and Waite, 2013","Old Swamp River near South Weymouth, MA",11.65,0.0223,0.0046,0.05001,10.84,0.4,6.4
71,"Bent and Waite, 2013","Otter River at Otter River, MA",88.32,0.0334,0.0049,0.048,18.2,0.54,10.59
72,"Bent and Waite, 2013","Priest Brook near Winchendon, MA",50.25,0.0411,0.002,0.01832,16.93,0.62,5.15
73,"Bent and Waite, 2013","Quaboag River at West Brimfield, MA",388.5,0.0163,0.0025,0.07615,40.37,0.82,28.6
74,"Bent and Waite, 2013","Salmon Creek at Lime Rock, CT",76.15,0.013,0.0034,0.11912,14.1,0.75,13.88
75,"Bent and Waite, 2013","Segreganset River at Dighton, MA",27.45,0.0461,0.013,0.10169,9.91,0.59,5.47
76,"Bent and Waite, 2013","Sevenmile River near Spencer, MA",22.82,0.0424,0.0053,0.03807,9.66,0.5,4.62
77,"Bent and Waite, 2013","SOUTH RIVER NEAR CONWAY, MA",62.42,0.1284,0.0052,0.03021,17,1.23,48.42
78,"Bent and Waite, 2013","Squannacook River near West Groton, MA",164.98,0.0234,0.0046,0.11855,22.46,1,21.01
79,"Bent and Waite, 2013","STONY BROOK NEAR WEST SUFFIELD, CT",26.94,0.0277,0.0064,0.07083,10,0.51,7.76
80,"Bent and Waite, 2013","Wading River near Norton, MA",112.15,0.0352,0.0024,0.02964,12.39,0.72,8.35
81,"Bent and Waite, 2013","West Branch Westfield River at Huntington, MA",243.46,0.0301,0.0066,0.128,37.84,0.96,98.26
82,"Brockman, 2010","FLOYDS FORK AT FISHERVILLE, KY",357.42,0.0153,0.001,0.0872,12.14,2.2,92.6
83,"California Water Board, 2012; ASCE report by Mussetter Eng. And Jones & Stokes Assoc. 2000",SAN JOAQUIN R NR VERNALIS CA,,0.8621,0.00014,0.0006,127.41,6.1,566.34
84,"Castro and Jackson, 2001","CHEHALIS RIVER AT PORTER, WA",3351.45,,0.00007,,85.34,5.06,239.08
85,"Castro and Jackson, 2001","JOHN DAY RIVER AT MCDONALD FERRY, OR",19632.12,,0.0073,,86.87,1.34,177.18
86,"Castro and Jackson, 2001","SKAGIT RIVER NEAR MOUNT VERNON, WA",8010.84,,0.0002,,182.88,4.97,1122.48
87,"Castro and Jackson, 2001","TUALATIN RIVER AT WEST LINN, OR",1828.53,,0.0052,,50.29,1.43,79.46
88,"Castro and Jackson, 2001","YAKIMA RIVER ABOVE AHTANUM CREEK AT UNION GAP, WA",9010.58,,0.0024,,70.1,2.19,227.58
89,"Castro and Jackson, 2001","YAKIMA RIVER AT KIONA, WA",14542.79,,0.0008,,76.2,1.68,204.28
90,"Castro and Jackson, 2001; O'Connor et al., 2014","ROGUE RIVER NEAR AGNESS, OR",10201.97,0.0654,0.0011,0.0407,109.73,3.99,805.33
91,"Castro and Jackson, 2001; O'Connor et al., 2014","South Umpqua River nr Brockway, OR",4325.28,0.0221,0.000674,0.0506,103.63,2.74,280.99
